Minutiae type,X coordinate,Y coordinate,Açı (θ)
Ending,346,363,12.394044
Ending,146,364,11.54328
Ending,217,364,16.680862
Ending,243,364,11.590288
Ending,278,364,12.291184
Ending,148,365,11.664057
Ending,215,365,16.523346
Ending,241,365,12.619892
Ending,54,366,10.510887
Ending,363,367,12.580614
Ending,153,368,11.677376
Ending,283,368,11.10849
Ending,349,368,10.811192
Ending,42,370,6.4824944
Ending,365,370,12.0348835
Ending,284,371,7.5313406
Ending,253,372,11.915295
Ending,337,372,10.67421
Ending,57,373,7.6549335
Ending,141,373,11.810442
Ending,251,373,12.885938
Ending,46,374,6.7423615
Ending,56,374,6.443615
Ending,223,374,16.631557
Ending,353,374,10.743069
Ending,49,375,7.20739
Ending,221,375,15.739405
Ending,52,376,7.1294994
Ending,49,377,5.779524
Ending,148,377,11.093792
Ending,303,378,7.779192
Ending,326,378,13.824012
Ending,372,378,7.294732
Ending,263,380,11.916259
Ending,261,381,13.0796585
Ending,328,381,14.260687
Ending,136,382,11.9496975
Ending,234,382,16.584663
Ending,232,383,16.167023
Ending,344,383,9.657978
Ending,305,385,12.8744755
Ending,143,386,11.55006
Ending,364,386,11.301548
Ending,45,387,6.169813
Ending,250,388,12.9492
Ending,306,388,13.3860035
Ending,318,389,13.180731
Ending,127,390,12.484409
Ending,246,390,13.084722
Ending,367,390,10.49869
Ending,130,391,13.633472
Ending,295,391,8.868534
Ending,370,391,5.452484
Ending,92,392,12.890385
Ending,163,392,17.630684
Ending,239,392,16.260685
Ending,320,392,13.077378
Ending,134,393,13.569092
Ending,166,393,17.530628
Ending,237,393,16.186222
Ending,368,393,7.852213
Ending,95,394,13.369307
Ending,296,394,7.316947
Ending,137,395,13.189171
Ending,369,395,6.399292
Ending,309,397,10.983694
Ending,296,398,8.49465
Ending,42,399,9.189998
Ending,123,399,11.131571
Ending,46,400,6.949911
Ending,85,400,11.646393
Ending,250,400,16.551758
Ending,311,400,10.9408455
Ending,248,401,16.362389
Ending,363,402,9.32589
Ending,132,404,10.712097
Ending,47,406,6.40692
Ending,262,407,16.25257
Ending,290,407,6.286854
Ending,291,407,6.009229
Ending,297,407,6.841081
Ending,367,407,8.3235
Ending,260,408,16.458334
Ending,287,408,9.2754135
Ending,119,409,14.681168
Ending,371,409,5.1000566
Ending,122,411,14.166016
Ending,369,411,4.6941648
Ending,323,412,8.127315
Ending,60,414,12.114677
Ending,63,415,10.151157
Ending,272,415,16.510962
Ending,270,416,16.664392
Ending,358,416,7.839692
Ending,139,418,13.220018
Ending,116,419,12.421175
Ending,143,419,14.365852
Ending,317,419,11.745241
Ending,43,420,3.966553
Ending,45,420,3.900391
Ending,68,420,10.914948
Ending,43,422,3.6809516
Ending,71,422,12.224099
Ending,121,422,14.308424
Ending,372,422,3.0357811
Ending,324,423,11.06605
Ending,175,424,17.935844
Ending,370,424,3.0074525
Ending,54,425,8.352935
Ending,178,425,18.182705
Ending,355,425,8.467811
Ending,103,426,13.184027
Ending,303,426,13.969427
Ending,106,427,13.678314
Ending,306,427,14.509329
Ending,60,428,7.31039
Ending,110,428,13.361277
Ending,333,428,13.862115
Ending,337,429,12.791637
Ending,113,430,14.991413
Ending,315,430,11.506289
Ending,63,431,12.482016
Ending,342,431,7.691464
Ending,318,432,11.360783
Ending,338,432,11.280094
Ending,65,433,13.278152
Ending,321,433,10.758877
Ending,70,435,12.95783
Ending,326,436,11.920218
Ending,352,436,6.306102
Ending,306,438,10.95373
Ending,312,441,13.338881
